key,sample_count,round_trips,mean_net_price_return,worst_trade_tail_loss,worst_close_drawdown,turnover_one_way_units,false_breakouts,false_breakout_unknown,post_exit_rally_mean,post_exit_rally_unknown,status_counts
open_price_limit_base_v1|15|A|old_ma60_5,71,36,-0.045720542954575324,-0.1121936555177423,-0.19926116504854374,107,0,71,0.04762983202980837,50,"{'not_matured': 33, 'pending': 2, 'closed': 36}"
open_price_limit_base_v1|30|A|old_ma60_5,71,36,-0.04857910634416234,-0.11485309735591998,-0.20046407766990293,107,0,71,0.04762983202980837,50,"{'not_matured': 33, 'pending': 2, 'closed': 36}"
open_price_limit_base_v1|50|A|old_ma60_5,71,36,-0.05237725060243304,-0.11838667082316368,-0.20206796116504866,107,0,71,0.04762983202980837,50,"{'not_matured': 33, 'pending': 2, 'closed': 36}"
open_price_limit_base_v1|15|A|structure_failure,71,29,-0.05173007507435425,-0.13192950650848312,-0.1559656150546559,100,0,71,0.05481834025814115,49,"{'not_matured': 42, 'closed': 29}"
open_price_limit_base_v1|30|A|structure_failure,71,29,-0.0545706367890867,-0.1345298292063628,-0.1572335685623356,100,0,71,0.05481834025814115,49,"{'not_matured': 42, 'closed': 29}"
open_price_limit_base_v1|50|A|structure_failure,71,29,-0.05834486240408459,-0.13798485166994723,-0.15892417323924157,100,0,71,0.05481834025814115,49,"{'not_matured': 42, 'closed': 29}"
open_price_limit_base_v1|15|A|structure_failure_atr,71,54,-0.0022810313177671964,-0.12912104314718698,-0.14025352786414724,125,0,71,0.060512881072146175,28,"{'not_matured': 17, 'closed': 54}"
open_price_limit_base_v1|30|A|structure_failure_atr,71,54,-0.0052697186419205,-0.1317297786537952,-0.14154508490791695,125,0,71,0.060512881072146175,28,"{'not_matured': 17, 'closed': 54}"
open_price_limit_base_v1|50|A|structure_failure_atr,71,54,-0.009240757255704458,-0.13519597913123227,-0.14326716096627612,125,0,71,0.060512881072146175,28,"{'not_matured': 17, 'closed': 54}"
open_price_limit_base_v1|15|B|old_trigger,71,54,-0.0022810313177671964,-0.12912104314718698,-0.14025352786414724,125,0,71,0.060512881072146175,28,"{'not_matured': 17, 'closed': 54}"
open_price_limit_base_v1|30|B|old_trigger,71,54,-0.0052697186419205,-0.1317297786537952,-0.14154508490791695,125,0,71,0.060512881072146175,28,"{'not_matured': 17, 'closed': 54}"
open_price_limit_base_v1|50|B|old_trigger,71,54,-0.009240757255704458,-0.13519597913123227,-0.14326716096627612,125,0,71,0.060512881072146175,28,"{'not_matured': 17, 'closed': 54}"
open_price_limit_base_v1|15|B|pullback,71,55,-0.004135269803649145,-0.12088455155105193,-0.14025352786414724,126,0,71,0.0626797315429882,30,"{'not_matured': 16, 'closed': 55}"
open_price_limit_base_v1|30|B|pullback,71,55,-0.0071184027189632295,-0.12351795963460954,-0.14154508490791684,126,0,71,0.0626797315429882,30,"{'not_matured': 16, 'closed': 55}"
open_price_limit_base_v1|50|B|pullback,71,55,-0.01108206124591138,-0.1270169423154498,-0.143267160966276,126,0,71,0.0626797315429882,30,"{'not_matured': 16, 'closed': 55}"
any_limit_touch_conservative_v1|15|A|old_ma60_5,71,36,-0.045720542954575324,-0.1121936555177423,-0.19926116504854374,107,0,71,0.04762983202980837,50,"{'not_matured': 33, 'pending': 2, 'closed': 36}"
any_limit_touch_conservative_v1|30|A|old_ma60_5,71,36,-0.04857910634416234,-0.11485309735591998,-0.20046407766990293,107,0,71,0.04762983202980837,50,"{'not_matured': 33, 'pending': 2, 'closed': 36}"
any_limit_touch_conservative_v1|50|A|old_ma60_5,71,36,-0.05237725060243304,-0.11838667082316368,-0.20206796116504866,107,0,71,0.04762983202980837,50,"{'not_matured': 33, 'pending': 2, 'closed': 36}"
any_limit_touch_conservative_v1|15|A|structure_failure,71,29,-0.05173007507435425,-0.13192950650848312,-0.1559656150546559,100,0,71,0.05481834025814115,49,"{'not_matured': 42, 'closed': 29}"
any_limit_touch_conservative_v1|30|A|structure_failure,71,29,-0.0545706367890867,-0.1345298292063628,-0.1572335685623356,100,0,71,0.05481834025814115,49,"{'not_matured': 42, 'closed': 29}"
