ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
001309.SZ,20260911,405.0,407.61,391.33,402.73,418.22,-15.49,-3.7038,137822.01,5517779.99309
001309.SZ,20260910,408.03,426.9,407.0,418.22,409.66,8.56,2.0895,123294.62,5180466.33315
001309.SZ,20260909,421.04,425.0,407.22,409.66,416.82,-7.16,-1.7178,95117.4,3950791.74976
001309.SZ,20260908,404.06,431.0,401.03,416.82,403.98,12.84,3.1784,156467.15,6535906.19255
001309.SZ,20260907,401.12,407.8,398.5,403.98,391.3,12.68,3.2405,106160.47,4290201.05281
001309.SZ,20260904,409.03,413.0,388.0,391.3,405.06,-13.76,-3.397,102110.91,4073794.23824
001309.SZ,20260903,417.0,417.7,401.68,405.06,412.93,-7.87,-1.9059,88098.4,3595926.47656
001309.SZ,20260902,408.51,420.8,408.5,412.93,418.04,-5.11,-1.2224,77505.42,3204456.08002
001309.SZ,20260901,436.65,439.18,416.88,418.04,436.5,-18.46,-4.2291,104139.06,4397103.67559
001309.SZ,20260831,422.31,442.32,420.5,436.5,429.03,7.47,1.7411,133741.33,5760448.55861
001309.SZ,20260828,437.5,448.25,429.01,429.03,429.76,-0.73,-0.1699,191817.86,8388900.62064
001309.SZ,20260827,395.19,429.76,392.33,429.76,390.69,39.07,10.0003,209854.25,8762050.14069
001309.SZ,20260826,398.19,401.98,389.24,390.69,397.03,-6.34,-1.5969,86405.49,3405325.62434
001309.SZ,20260825,390.0,406.85,386.15,397.03,400.36,-3.33,-0.8318,105314.47,4179621.5669
001309.SZ,20260824,413.33,415.0,386.16,400.36,415.12,-14.76,-3.5556,137309.8,5445318.74435
001309.SZ,20260821,398.1,423.0,393.0,415.12,398.1,17.02,4.2753,152183.64,6207753.48569
001309.SZ,20260820,400.01,403.92,390.01,398.1,393.8,4.3,1.0919,101614.59,4036607.52716
001309.SZ,20260819,415.4,419.85,393.6,393.8,437.33,-43.53,-9.9536,193453.48,7813767.1975
001309.SZ,20260818,440.0,450.65,428.96,437.33,435.4,1.93,0.4433,201430.12,8860982.12119
001309.SZ,20260817,410.02,443.6,406.6,435.4,406.19,29.21,7.1912,210540.31,8973582.40325
001309.SZ,20260814,410.02,415.09,399.0,406.19,396.53,9.66,2.4361,140694.08,5714460.67353
001309.SZ,20260813,416.88,424.66,396.0,396.53,407.58,-11.05,-2.7111,192818.6,7952924.43741
001309.SZ,20260812,404.01,413.72,395.11,407.58,400.99,6.59,1.6434,166226.88,6750970.15908
001309.SZ,20260811,397.5,414.0,395.02,400.99,400.8,0.19,0.0474,180554.58,7311670.35553
001309.SZ,20260810,408.0,415.0,390.0,400.8,404.16,-3.36,-0.8314,195806.83,7797328.22342
001309.SZ,20260807,388.32,412.25,388.0,404.16,388.25,15.91,4.0979,249973.46,10038554.5394
001309.SZ,20260806,371.34,397.51,367.0,388.25,386.24,2.01,0.5204,227112.46,8679727.79979
001309.SZ,20260805,363.0,393.39,360.0,386.24,364.18,22.06,6.0574,274501.2,10394934.8598
001309.SZ,20260804,352.03,369.31,347.0,364.18,349.0,15.18,4.3496,247687.73,8892958.59044
001309.SZ,20260803,373.94,376.61,348.96,349.0,385.9,-36.9,-9.5621,272145.36,9775395.31425
001309.SZ,20260731,429.04,429.04,385.04,385.9,390.04,-4.14,-1.0614,422580.18,17354796.7
001309.SZ,20260730,359.33,390.04,352.0,390.04,354.58,35.46,10.0006,306387.35,11365746.0765
001309.SZ,20260729,361.0,363.0,334.0,354.58,361.44,-6.86,-1.898,247035.57,8624816.01978
001309.SZ,20260728,381.53,401.5,361.44,361.44,401.6,-40.16,-10.0,192938.85,7275110.44402
001309.SZ,20260727,399.89,405.58,378.0,401.6,399.89,1.71,0.4276,215020.94,8451611.61386
001309.SZ,20260724,431.28,432.0,398.05,399.89,435.0,-35.11,-8.0713,252081.35,10356497.0166
001309.SZ,20260723,444.0,468.68,431.47,435.0,457.2,-22.2,-4.8556,261887.26,11699343.8006
001309.SZ,20260722,480.0,485.96,457.2,457.2,508.0,-50.8,-10.0,256479.89,12105000.8411
001309.SZ,20260721,450.01,530.0,434.6,508.0,482.89,25.11,5.1999,406326.26,18834643.4541
001309.SZ,20260720,482.89,500.0,482.89,482.89,536.54,-53.65,-9.9993,177602.46,8596923.13019
001309.SZ,20260717,536.54,536.54,536.54,536.54,596.16,-59.62,-10.0007,21076.0,1130811.704
001309.SZ,20260716,596.16,596.16,596.16,596.16,662.4,-66.24,-10.0,8321.0,496064.736
001309.SZ,20260715,662.4,662.4,662.4,662.4,736.0,-73.6,-10.0,26504.0,1755624.96
001309.SZ,20260714,716.63,740.0,663.26,736.0,719.98,16.02,2.2251,170348.29,11999055.4019
001309.SZ,20260713,755.28,774.23,719.98,719.98,799.98,-80.0,-10.0003,113759.34,8392670.74526
001309.SZ,20260710,859.99,878.99,799.9,799.98,860.48,-60.5,-7.031,150890.58,12724728.442
001309.SZ,20260709,840.01,867.88,798.88,860.48,825.0,35.48,4.3006,163888.0,13651177.6736
001309.SZ,20260708,866.31,870.24,790.0,825.0,851.0,-26.0,-3.0552,139864.9,11591834.1524
001309.SZ,20260707,870.0,900.0,845.28,851.0,935.0,-84.0,-8.984,143597.16,12502147.6205
001309.SZ,20260706,877.1,954.19,860.0,935.0,881.91,53.09,6.0199,216857.08,19558879.51
001309.SZ,20260703,804.75,892.1,795.0,881.91,811.0,70.91,8.7435,198002.65,16987834.4966
