ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301511.SZ,20260911,105.96,107.7,102.0,106.4,108.68,-2.28,-2.0979,346324.27,3637085.56864
301511.SZ,20260910,105.09,112.82,104.0,108.68,105.7,2.98,2.8193,373694.94,4090270.34629
301511.SZ,20260909,105.0,106.48,103.0,105.7,103.08,2.62,2.5417,333872.64,3495345.68519
301511.SZ,20260908,99.0,106.57,98.08,103.08,99.48,3.6,3.6188,435659.47,4458797.93488
301511.SZ,20260907,86.67,101.15,86.0,99.48,85.05,14.43,16.9665,553848.81,5293544.28419
301511.SZ,20260904,90.42,91.35,84.31,85.05,89.51,-4.46,-4.9827,257956.12,2247206.17932
301511.SZ,20260903,92.1,92.44,86.66,89.61,90.75,-1.14,-1.2562,312754.48,2780212.58491
301511.SZ,20260902,90.06,92.5,88.5,90.75,92.64,-1.89,-2.0402,313260.6,2827604.24785
301511.SZ,20260901,99.49,99.66,92.11,92.64,97.59,-4.95,-5.0722,384697.83,3617728.49065
301511.SZ,20260831,89.0,98.8,87.75,97.59,90.5,7.09,7.8343,579880.66,5542033.06016
301511.SZ,20260828,88.37,92.47,86.0,90.5,86.89,3.61,4.1547,441468.41,3965649.25308
301511.SZ,20260827,82.05,88.88,79.86,86.89,80.36,6.53,8.1259,327068.22,2764000.87312
301511.SZ,20260826,81.02,81.8,77.68,80.36,81.48,-1.12,-1.3746,221219.73,1769496.84399
301511.SZ,20260825,81.32,82.88,77.0,81.48,81.87,-0.39,-0.4764,374969.75,2994433.77564
301511.SZ,20260824,89.14,89.99,79.31,81.87,90.64,-8.77,-9.6756,394769.72,3264713.80117
301511.SZ,20260821,88.41,92.5,85.0,90.64,88.41,2.23,2.5223,275560.82,2467029.87628
301511.SZ,20260820,89.37,93.48,86.46,88.41,86.36,2.05,2.3738,348095.64,3121586.94462
301511.SZ,20260819,94.4,94.97,85.73,86.36,98.61,-12.25,-12.4227,366328.74,3296194.7545
301511.SZ,20260818,102.0,102.0,95.97,98.61,101.0,-2.39,-2.3663,322680.13,3178173.097
301511.SZ,20260817,96.99,101.63,94.6,101.0,95.02,5.98,6.2934,375005.9,3686623.7154
301511.SZ,20260814,88.58,95.83,88.58,95.02,89.9,5.12,5.6952,362684.4,3375206.85169
301511.SZ,20260813,90.36,98.58,89.69,89.9,89.86,0.04,0.0445,411394.99,3858096.37269
301511.SZ,20260812,86.01,91.75,86.01,89.86,85.96,3.9,4.537,385516.89,3456060.53442
301511.SZ,20260811,87.0,90.03,85.45,85.96,88.7,-2.74,-3.0891,375736.52,3281291.41625
301511.SZ,20260810,93.28,94.0,84.8,88.7,90.9,-2.2,-2.4202,598502.57,5281587.46448
301511.SZ,20260807,79.12,93.86,78.45,90.9,78.22,12.68,16.2107,677126.83,5937157.50154
301511.SZ,20260806,75.24,80.23,73.18,78.22,76.76,1.46,1.902,390178.86,3020178.62613
301511.SZ,20260805,66.6,78.82,65.86,76.76,68.71,8.05,11.7159,367866.0,2703833.11572
301511.SZ,20260804,64.1,69.98,62.44,68.71,63.33,5.38,8.4952,293072.95,1963950.09347
301511.SZ,20260803,65.63,67.18,62.81,63.33,66.3,-2.97,-4.4796,258806.32,1670159.52167
301511.SZ,20260731,71.28,74.6,66.13,66.3,63.92,2.38,3.7234,289112.18,2046787.5005
301511.SZ,20260730,70.01,70.18,62.4,63.92,70.32,-6.4,-9.1013,281612.33,1844483.73926
301511.SZ,20260729,71.73,73.51,66.21,70.32,72.45,-2.13,-2.94,282742.98,1972691.28177
301511.SZ,20260728,78.53,79.9,71.42,72.45,81.5,-9.05,-11.1043,256838.45,1928907.74198
301511.SZ,20260727,76.83,81.5,74.93,81.5,75.48,6.02,7.9756,238824.85,1861707.95609
301511.SZ,20260724,77.7,79.05,74.7,75.48,78.8,-3.32,-4.2132,219724.56,1681638.45252
301511.SZ,20260723,81.54,84.78,78.1,78.8,80.1,-1.3,-1.623,246716.22,1990605.42211
301511.SZ,20260722,84.46,88.88,79.34,80.1,84.48,-4.38,-5.1847,370219.05,3099364.77128
301511.SZ,20260721,78.21,84.8,65.77,84.48,76.98,7.5,9.7428,482626.82,3679291.11186
301511.SZ,20260720,98.14,99.0,76.98,76.98,96.22,-19.24,-19.9958,485116.32,4066952.18548
301511.SZ,20260717,106.53,106.53,94.57,96.22,107.0,-10.78,-10.0748,225884.34,2253876.36819
301511.SZ,20260716,110.06,114.07,105.0,107.0,111.8,-4.8,-4.2934,218843.81,2386071.9898
301511.SZ,20260715,118.66,121.66,110.7,111.8,115.0,-3.2,-2.7826,266015.22,3083106.9314
301511.SZ,20260714,104.41,115.0,102.8,115.0,103.36,11.64,11.2616,286634.42,3137107.59826
301511.SZ,20260713,116.18,118.0,102.38,103.36,116.52,-13.16,-11.2942,349344.55,3806805.65609
301511.SZ,20260710,121.6,124.6,116.16,116.52,120.99,-4.47,-3.6945,269971.47,3273348.67051
301511.SZ,20260709,120.0,121.0,111.58,120.99,118.17,2.82,2.3864,333741.85,3903069.99909
301511.SZ,20260708,128.17,131.17,117.35,118.17,126.4,-8.23,-6.5111,352034.49,4303477.07623
301511.SZ,20260707,131.04,135.38,124.86,126.4,132.3,-5.9,-4.4596,312152.95,4018237.54835
301511.SZ,20260706,155.0,156.44,131.0,132.3,153.1,-20.8,-13.5859,414951.36,5747470.77403
