ts_code,trade_date,adj_factor
603986.SH,20260911,5.6561
603986.SH,20260910,5.6561
603986.SH,20260909,5.6561
603986.SH,20260908,5.6561
603986.SH,20260907,5.6561
603986.SH,20260904,5.6561
603986.SH,20260903,5.6561
603986.SH,20260902,5.6561
603986.SH,20260901,5.6561
603986.SH,20260831,5.6561
603986.SH,20260828,5.6561
603986.SH,20260827,5.6561
603986.SH,20260826,5.6561
603986.SH,20260825,5.6561
603986.SH,20260824,5.6561
603986.SH,20260821,5.6561
603986.SH,20260820,5.6561
603986.SH,20260819,5.6561
603986.SH,20260818,5.6561
603986.SH,20260817,5.6561
603986.SH,20260814,5.6561
603986.SH,20260813,5.6561
603986.SH,20260812,5.6561
603986.SH,20260811,5.6561
603986.SH,20260810,5.6561
603986.SH,20260807,5.6561
603986.SH,20260806,5.6561
603986.SH,20260805,5.6561
603986.SH,20260804,5.6561
603986.SH,20260803,5.6561
603986.SH,20260731,5.6561
603986.SH,20260730,5.6561
603986.SH,20260729,5.6561
603986.SH,20260728,5.6561
603986.SH,20260727,5.6561
603986.SH,20260724,5.6561
603986.SH,20260723,5.6561
603986.SH,20260722,5.6561
603986.SH,20260721,5.6561
603986.SH,20260720,5.6561
603986.SH,20260717,5.6561
603986.SH,20260716,5.6561
603986.SH,20260715,5.6561
603986.SH,20260714,5.6561
603986.SH,20260713,5.6561
603986.SH,20260710,5.6561
603986.SH,20260709,5.6561
603986.SH,20260708,5.6561
603986.SH,20260707,5.6561
603986.SH,20260706,5.6561
603986.SH,20260703,5.6561
603986.SH,20260702,5.6561
603986.SH,20260701,5.6561
603986.SH,20260630,5.6561
603986.SH,20260629,5.6561
603986.SH,20260626,5.6561
603986.SH,20260625,5.6561
603986.SH,20260624,5.6561
603986.SH,20260623,5.6561
603986.SH,20260622,5.6561
603986.SH,20260618,5.6561
603986.SH,20260617,5.6561
603986.SH,20260616,5.6561
603986.SH,20260615,5.6561
603986.SH,20260612,5.6561
603986.SH,20260611,5.6561
603986.SH,20260610,5.6561
603986.SH,20260609,5.6561
603986.SH,20260608,5.6561
603986.SH,20260605,5.6561
603986.SH,20260604,5.6561
603986.SH,20260603,5.6561
603986.SH,20260602,5.6561
603986.SH,20260601,5.6561
603986.SH,20260529,5.6561
603986.SH,20260528,5.6561
603986.SH,20260527,5.6561
603986.SH,20260526,5.6561
603986.SH,20260525,5.6479
603986.SH,20260522,5.6479
603986.SH,20260521,5.6479
603986.SH,20260520,5.6479
603986.SH,20260519,5.6479
603986.SH,20260518,5.6479
603986.SH,20260515,5.6479
603986.SH,20260514,5.6479
603986.SH,20260513,5.6479
603986.SH,20260512,5.6479
603986.SH,20260511,5.6479
603986.SH,20260508,5.6479
603986.SH,20260507,5.6479
603986.SH,20260506,5.6479
603986.SH,20260430,5.6479
603986.SH,20260429,5.6479
603986.SH,20260428,5.6479
603986.SH,20260427,5.6479
603986.SH,20260424,5.6479
603986.SH,20260423,5.6479
603986.SH,20260422,5.6479
603986.SH,20260421,5.6479
603986.SH,20260420,5.6479
603986.SH,20260417,5.6479
603986.SH,20260416,5.6479
603986.SH,20260415,5.6479
603986.SH,20260414,5.6479
603986.SH,20260413,5.6479
603986.SH,20260410,5.6479
603986.SH,20260409,5.6479
603986.SH,20260408,5.6479
603986.SH,20260407,5.6479
603986.SH,20260403,5.6479
603986.SH,20260402,5.6479
603986.SH,20260401,5.6479
603986.SH,20260331,5.6479
603986.SH,20260330,5.6479
603986.SH,20260327,5.6479
603986.SH,20260326,5.6479
603986.SH,20260325,5.6479
603986.SH,20260324,5.6479
603986.SH,20260323,5.6479
603986.SH,20260320,5.6479
603986.SH,20260319,5.6479
603986.SH,20260318,5.6479
603986.SH,20260317,5.6479
603986.SH,20260316,5.6479
603986.SH,20260313,5.6479
603986.SH,20260312,5.6479
603986.SH,20260311,5.6479
603986.SH,20260310,5.6479
603986.SH,20260309,5.6479
603986.SH,20260306,5.6479
603986.SH,20260305,5.6479
603986.SH,20260304,5.6479
603986.SH,20260303,5.6479
603986.SH,20260302,5.6479
603986.SH,20260227,5.6479
603986.SH,20260226,5.6479
603986.SH,20260225,5.6479
603986.SH,20260224,5.6479
603986.SH,20260213,5.6479
603986.SH,20260212,5.6479
603986.SH,20260211,5.6479
603986.SH,20260210,5.6479
603986.SH,20260209,5.6479
603986.SH,20260206,5.6479
603986.SH,20260205,5.6479
603986.SH,20260204,5.6479
603986.SH,20260203,5.6479
603986.SH,20260202,5.6479
603986.SH,20260130,5.6479
603986.SH,20260129,5.6479
603986.SH,20260128,5.6479
603986.SH,20260127,5.6479
603986.SH,20260126,5.6479
603986.SH,20260123,5.6479
603986.SH,20260122,5.6479
603986.SH,20260121,5.6479
603986.SH,20260120,5.6479
603986.SH,20260119,5.6479
603986.SH,20260116,5.6479
603986.SH,20260115,5.6479
603986.SH,20260114,5.6479
603986.SH,20260113,5.6479
603986.SH,20260112,5.6479
603986.SH,20260109,5.6479
603986.SH,20260108,5.6479
603986.SH,20260107,5.6479
603986.SH,20260106,5.6479
603986.SH,20260105,5.6479
603986.SH,20251231,5.6479
603986.SH,20251230,5.6479
603986.SH,20251229,5.6479
603986.SH,20251226,5.6479
603986.SH,20251225,5.6479
