ts_code,trade_date,adj_factor
001309.SZ,20260911,2.5639
001309.SZ,20260910,2.5639
001309.SZ,20260909,2.5639
001309.SZ,20260908,2.5639
001309.SZ,20260907,2.5639
001309.SZ,20260904,2.5639
001309.SZ,20260903,2.5639
001309.SZ,20260902,2.5639
001309.SZ,20260901,2.5639
001309.SZ,20260831,2.5639
001309.SZ,20260828,2.5639
001309.SZ,20260827,2.5639
001309.SZ,20260826,2.5639
001309.SZ,20260825,2.5639
001309.SZ,20260824,2.5639
001309.SZ,20260821,2.5639
001309.SZ,20260820,2.5639
001309.SZ,20260819,2.5639
001309.SZ,20260818,2.5639
001309.SZ,20260817,2.5639
001309.SZ,20260814,2.5639
001309.SZ,20260813,2.5639
001309.SZ,20260812,2.5639
001309.SZ,20260811,2.5639
001309.SZ,20260810,2.5639
001309.SZ,20260807,2.5639
001309.SZ,20260806,2.5639
001309.SZ,20260805,2.5639
001309.SZ,20260804,2.5639
001309.SZ,20260803,2.5639
001309.SZ,20260731,2.5639
001309.SZ,20260730,2.5639
001309.SZ,20260729,2.5639
001309.SZ,20260728,2.5639
001309.SZ,20260727,2.5639
001309.SZ,20260724,2.5639
001309.SZ,20260723,2.5639
001309.SZ,20260722,2.5639
001309.SZ,20260721,2.5639
001309.SZ,20260720,2.5639
001309.SZ,20260717,2.5639
001309.SZ,20260716,2.5639
001309.SZ,20260715,2.5639
001309.SZ,20260714,2.5639
001309.SZ,20260713,2.5639
001309.SZ,20260710,2.5639
001309.SZ,20260709,2.5639
001309.SZ,20260708,2.5639
001309.SZ,20260707,2.5639
001309.SZ,20260706,2.5639
001309.SZ,20260703,2.5639
001309.SZ,20260702,2.5639
001309.SZ,20260701,2.5639
001309.SZ,20260630,2.5639
001309.SZ,20260629,2.5639
001309.SZ,20260626,2.5639
001309.SZ,20260625,2.5639
001309.SZ,20260624,2.5639
001309.SZ,20260623,2.5639
001309.SZ,20260622,2.5639
001309.SZ,20260618,2.5639
001309.SZ,20260617,2.5639
001309.SZ,20260616,2.5639
001309.SZ,20260615,2.5639
001309.SZ,20260612,2.5639
001309.SZ,20260611,2.5639
001309.SZ,20260610,2.5639
001309.SZ,20260609,2.5639
001309.SZ,20260608,2.5639
001309.SZ,20260605,2.5639
001309.SZ,20260604,2.5639
001309.SZ,20260603,2.5639
001309.SZ,20260602,2.5639
001309.SZ,20260601,2.5639
001309.SZ,20260529,2.5639
001309.SZ,20260528,2.5639
001309.SZ,20260527,2.5639
001309.SZ,20260526,2.5639
001309.SZ,20260525,2.5639
001309.SZ,20260522,2.5639
001309.SZ,20260521,2.5639
001309.SZ,20260520,2.5639
001309.SZ,20260519,2.5639
001309.SZ,20260518,2.5639
001309.SZ,20260515,2.5639
001309.SZ,20260514,2.5639
001309.SZ,20260513,2.5639
001309.SZ,20260512,2.5639
001309.SZ,20260511,2.5639
001309.SZ,20260508,2.5639
001309.SZ,20260507,2.5639
001309.SZ,20260506,2.5639
001309.SZ,20260430,2.5639
001309.SZ,20260429,2.5639
001309.SZ,20260428,2.5639
001309.SZ,20260427,2.5639
001309.SZ,20260424,2.5639
001309.SZ,20260423,2.5639
001309.SZ,20260422,2.5639
001309.SZ,20260421,2.5639
001309.SZ,20260420,2.5639
001309.SZ,20260417,2.5639
001309.SZ,20260416,2.5639
001309.SZ,20260415,2.5639
001309.SZ,20260414,2.5639
001309.SZ,20260413,2.5639
001309.SZ,20260410,2.5639
001309.SZ,20260409,2.5639
001309.SZ,20260408,2.5639
001309.SZ,20260407,2.5639
001309.SZ,20260403,2.5639
001309.SZ,20260402,2.5639
001309.SZ,20260401,2.5639
001309.SZ,20260331,2.5612
001309.SZ,20260330,2.5612
001309.SZ,20260327,2.5612
001309.SZ,20260326,2.5612
001309.SZ,20260325,2.5612
001309.SZ,20260324,2.5612
001309.SZ,20260323,2.5612
001309.SZ,20260320,2.5612
001309.SZ,20260319,2.5612
001309.SZ,20260318,2.5612
001309.SZ,20260317,2.5612
001309.SZ,20260316,2.5612
001309.SZ,20260313,2.5612
001309.SZ,20260312,2.5612
001309.SZ,20260311,2.5612
001309.SZ,20260310,2.5612
001309.SZ,20260309,2.5612
001309.SZ,20260306,2.5612
001309.SZ,20260305,2.5612
001309.SZ,20260304,2.5612
001309.SZ,20260303,2.5612
001309.SZ,20260302,2.5612
001309.SZ,20260227,2.5612
001309.SZ,20260226,2.5612
001309.SZ,20260225,2.5612
001309.SZ,20260224,2.5612
001309.SZ,20260213,2.5612
001309.SZ,20260212,2.5612
001309.SZ,20260211,2.5612
001309.SZ,20260210,2.5612
001309.SZ,20260209,2.5612
001309.SZ,20260206,2.5612
001309.SZ,20260205,2.5612
001309.SZ,20260204,2.5612
001309.SZ,20260203,2.5612
001309.SZ,20260202,2.5612
001309.SZ,20260130,2.5612
001309.SZ,20260129,2.5612
001309.SZ,20260128,2.5612
001309.SZ,20260127,2.5612
001309.SZ,20260126,2.5612
001309.SZ,20260123,2.5612
001309.SZ,20260122,2.5612
001309.SZ,20260121,2.5612
001309.SZ,20260120,2.5612
001309.SZ,20260119,2.5612
001309.SZ,20260116,2.5612
001309.SZ,20260115,2.5612
001309.SZ,20260114,2.5612
001309.SZ,20260113,2.5612
001309.SZ,20260112,2.5612
001309.SZ,20260109,2.5612
001309.SZ,20260108,2.5612
001309.SZ,20260107,2.5612
001309.SZ,20260106,2.5612
001309.SZ,20260105,2.5612
001309.SZ,20251231,2.5612
001309.SZ,20251230,2.5612
001309.SZ,20251229,2.5612
001309.SZ,20251226,2.5612
001309.SZ,20251225,2.5612
