ts_code,trade_date,adj_factor
601138.SH,20260911,1.2046
601138.SH,20260910,1.2046
601138.SH,20260909,1.2046
601138.SH,20260908,1.2046
601138.SH,20260907,1.2046
601138.SH,20260904,1.2046
601138.SH,20260903,1.2046
601138.SH,20260902,1.2046
601138.SH,20260901,1.2046
601138.SH,20260831,1.2046
601138.SH,20260828,1.2046
601138.SH,20260827,1.2046
601138.SH,20260826,1.2046
601138.SH,20260825,1.2046
601138.SH,20260824,1.2046
601138.SH,20260821,1.2046
601138.SH,20260820,1.2046
601138.SH,20260819,1.2046
601138.SH,20260818,1.2046
601138.SH,20260817,1.2046
601138.SH,20260814,1.2046
601138.SH,20260813,1.2046
601138.SH,20260812,1.2046
601138.SH,20260811,1.2046
601138.SH,20260810,1.2046
601138.SH,20260807,1.2046
601138.SH,20260806,1.2046
601138.SH,20260805,1.2046
601138.SH,20260804,1.2046
601138.SH,20260803,1.2046
601138.SH,20260731,1.1908
601138.SH,20260730,1.1908
601138.SH,20260729,1.1908
601138.SH,20260728,1.1908
601138.SH,20260727,1.1908
601138.SH,20260724,1.1908
601138.SH,20260723,1.1908
601138.SH,20260722,1.1908
601138.SH,20260721,1.1908
601138.SH,20260720,1.1908
601138.SH,20260717,1.1908
601138.SH,20260716,1.1908
601138.SH,20260715,1.1908
601138.SH,20260714,1.1908
601138.SH,20260713,1.1908
601138.SH,20260710,1.1908
601138.SH,20260709,1.1908
601138.SH,20260708,1.1908
601138.SH,20260707,1.1908
601138.SH,20260706,1.1908
601138.SH,20260703,1.1908
601138.SH,20260702,1.1908
601138.SH,20260701,1.1908
601138.SH,20260630,1.1908
601138.SH,20260629,1.1908
601138.SH,20260626,1.1908
601138.SH,20260625,1.1908
601138.SH,20260624,1.1908
601138.SH,20260623,1.1908
601138.SH,20260622,1.1908
601138.SH,20260618,1.1908
601138.SH,20260617,1.1908
601138.SH,20260616,1.1908
601138.SH,20260615,1.1908
601138.SH,20260612,1.1908
601138.SH,20260611,1.1908
601138.SH,20260610,1.1908
601138.SH,20260609,1.1908
601138.SH,20260608,1.1908
601138.SH,20260605,1.1908
601138.SH,20260604,1.1908
601138.SH,20260603,1.1908
601138.SH,20260602,1.1908
601138.SH,20260601,1.1908
601138.SH,20260529,1.1908
601138.SH,20260528,1.1908
601138.SH,20260527,1.1908
601138.SH,20260526,1.1908
601138.SH,20260525,1.1908
601138.SH,20260522,1.1908
601138.SH,20260521,1.1908
601138.SH,20260520,1.1908
601138.SH,20260519,1.1908
601138.SH,20260518,1.1908
601138.SH,20260515,1.1908
601138.SH,20260514,1.1908
601138.SH,20260513,1.1908
601138.SH,20260512,1.1908
601138.SH,20260511,1.1908
601138.SH,20260508,1.1908
601138.SH,20260507,1.1908
601138.SH,20260506,1.1908
601138.SH,20260430,1.1908
601138.SH,20260429,1.1908
601138.SH,20260428,1.1908
601138.SH,20260427,1.1908
601138.SH,20260424,1.1908
601138.SH,20260423,1.1908
601138.SH,20260422,1.1908
601138.SH,20260421,1.1908
601138.SH,20260420,1.1908
601138.SH,20260417,1.1908
601138.SH,20260416,1.1908
601138.SH,20260415,1.1908
601138.SH,20260414,1.1908
601138.SH,20260413,1.1908
601138.SH,20260410,1.1908
601138.SH,20260409,1.1908
601138.SH,20260408,1.1908
601138.SH,20260407,1.1908
601138.SH,20260403,1.1908
601138.SH,20260402,1.1908
601138.SH,20260401,1.1908
601138.SH,20260331,1.1908
601138.SH,20260330,1.1908
601138.SH,20260327,1.1908
601138.SH,20260326,1.1908
601138.SH,20260325,1.1908
601138.SH,20260324,1.1908
601138.SH,20260323,1.1908
601138.SH,20260320,1.1908
601138.SH,20260319,1.1908
601138.SH,20260318,1.1908
601138.SH,20260317,1.1908
601138.SH,20260316,1.1908
601138.SH,20260313,1.1908
601138.SH,20260312,1.1908
601138.SH,20260311,1.1908
601138.SH,20260310,1.1908
601138.SH,20260309,1.1908
601138.SH,20260306,1.1908
601138.SH,20260305,1.1908
601138.SH,20260304,1.1908
601138.SH,20260303,1.1908
601138.SH,20260302,1.1908
601138.SH,20260227,1.1908
601138.SH,20260226,1.1908
601138.SH,20260225,1.1908
601138.SH,20260224,1.1908
601138.SH,20260213,1.1908
601138.SH,20260212,1.1908
601138.SH,20260211,1.1908
601138.SH,20260210,1.1908
601138.SH,20260209,1.1908
601138.SH,20260206,1.1908
601138.SH,20260205,1.1908
601138.SH,20260204,1.1908
601138.SH,20260203,1.1908
601138.SH,20260202,1.1908
601138.SH,20260130,1.1908
601138.SH,20260129,1.1908
601138.SH,20260128,1.1908
601138.SH,20260127,1.1908
601138.SH,20260126,1.1908
601138.SH,20260123,1.1908
601138.SH,20260122,1.1908
601138.SH,20260121,1.1908
601138.SH,20260120,1.1908
601138.SH,20260119,1.1908
601138.SH,20260116,1.1908
601138.SH,20260115,1.1843
601138.SH,20260114,1.1843
601138.SH,20260113,1.1843
601138.SH,20260112,1.1843
601138.SH,20260109,1.1843
601138.SH,20260108,1.1843
601138.SH,20260107,1.1843
601138.SH,20260106,1.1843
601138.SH,20260105,1.1843
601138.SH,20251231,1.1843
601138.SH,20251230,1.1843
601138.SH,20251229,1.1843
601138.SH,20251226,1.1843
601138.SH,20251225,1.1843
