ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300750.SZ,20260911,333.06,335.66,328.3,330.51,338.06,-7.55,-2.2333,276599.96,9144012.15164
300750.SZ,20260910,335.9,340.8,330.5,338.06,336.84,1.22,0.3622,291184.3,9828547.42709
300750.SZ,20260909,332.48,337.66,327.1,336.84,335.49,1.35,0.4024,390240.0,12957469.5584
300750.SZ,20260908,345.67,346.6,326.0,335.49,348.2,-12.71,-3.6502,519550.96,17445391.3932
300750.SZ,20260907,351.05,351.8,345.5,348.2,351.0,-2.8,-0.7977,246788.2,8581370.37278
300750.SZ,20260904,351.4,354.66,349.56,351.0,349.5,1.5,0.4292,227380.97,8020348.99736
300750.SZ,20260903,349.99,354.8,348.1,349.5,348.29,1.21,0.3474,262864.04,9235577.47446
300750.SZ,20260902,355.98,356.5,347.55,348.29,358.1,-9.81,-2.7395,278067.28,9720135.91673
300750.SZ,20260901,362.49,363.56,358.03,358.1,363.55,-5.45,-1.4991,198086.88,7129756.98621
300750.SZ,20260831,366.6,367.33,357.3,363.55,368.5,-4.95,-1.3433,262423.87,9477663.42143
300750.SZ,20260828,368.0,371.25,364.13,368.5,373.0,-4.5,-1.2064,263769.77,9706623.34177
300750.SZ,20260827,376.5,378.66,370.05,373.0,379.0,-6.0,-1.5831,233737.82,8701494.03647
300750.SZ,20260826,379.9,385.5,373.71,379.0,376.73,2.27,0.6026,207162.4,7909044.89382
300750.SZ,20260825,391.0,391.15,376.06,376.73,387.89,-11.16,-2.8771,260645.94,9924585.37821
300750.SZ,20260824,391.15,394.4,386.68,387.89,391.15,-3.26,-0.8334,139729.68,5444644.44294
300750.SZ,20260821,386.0,397.83,383.05,391.15,385.0,6.15,1.5974,204496.15,8013769.87235
300750.SZ,20260820,391.51,392.09,384.0,385.0,389.0,-4.0,-1.0283,179096.45,6928336.37915
300750.SZ,20260819,394.0,396.99,388.33,389.0,396.26,-7.26,-1.8321,211571.58,8275393.96565
300750.SZ,20260818,399.0,400.75,394.5,396.26,399.98,-3.72,-0.93,169331.8,6731677.17985
300750.SZ,20260817,393.93,400.5,390.5,399.98,393.93,6.05,1.5358,203998.38,8092741.36428
300750.SZ,20260814,395.0,400.99,393.68,393.93,396.3,-2.37,-0.598,159301.54,6305785.41658
300750.SZ,20260813,393.04,399.39,391.04,396.3,393.93,2.37,0.6016,244293.04,9665143.59703
300750.SZ,20260812,388.43,395.91,387.52,393.93,390.4,3.53,0.9042,202364.34,7909423.54191
300750.SZ,20260811,395.0,395.28,389.52,390.4,393.87,-3.47,-0.881,162991.62,6397141.51479
300750.SZ,20260810,385.61,394.62,384.63,393.87,386.67,7.2,1.8621,231609.3,9025386.57795
300750.SZ,20260807,387.99,388.88,384.02,388.07,388.0,0.07,0.018,255193.02,9877813.28482
300750.SZ,20260806,410.0,410.0,384.16,388.0,405.2,-17.2,-4.2448,453201.03,17750194.5412
300750.SZ,20260805,400.02,407.9,398.0,405.2,395.1,10.1,2.5563,300111.67,12124213.2456
300750.SZ,20260804,395.0,397.86,391.22,395.1,394.4,0.7,0.1775,261654.17,10351812.2393
300750.SZ,20260803,392.6,395.88,389.6,394.4,395.3,-0.9,-0.2277,215222.58,8458002.89367
300750.SZ,20260731,395.55,400.2,389.0,395.3,401.88,-6.58,-1.6373,394149.48,15602984.033
300750.SZ,20260730,390.0,403.8,389.8,401.88,396.84,5.04,1.27,452390.48,18103458.9937
300750.SZ,20260729,390.0,401.86,381.38,396.84,390.86,5.98,1.53,404358.73,15926245.5858
300750.SZ,20260728,396.26,399.99,390.86,390.86,400.0,-9.14,-2.285,371910.82,14652804.7274
300750.SZ,20260727,398.01,403.8,394.0,400.0,383.01,16.99,4.4359,473272.1,18875798.8627
300750.SZ,20260724,383.18,390.86,382.65,383.01,385.99,-2.98,-0.772,254542.24,9822803.97512
300750.SZ,20260723,373.0,386.0,366.01,385.99,372.26,13.73,3.6883,359409.28,13610468.7215
300750.SZ,20260722,382.85,385.0,369.87,372.26,382.2,-9.94,-2.6007,311937.61,11690411.4042
300750.SZ,20260721,372.67,391.0,372.5,382.2,376.43,5.77,1.5328,440360.45,16935106.6313
300750.SZ,20260720,354.0,377.6,353.8,376.43,360.0,16.43,4.5639,447907.68,16632779.3989
300750.SZ,20260717,372.3,375.24,360.0,360.0,366.2,-6.2,-1.6931,512453.36,18846714.5855
300750.SZ,20260716,369.48,375.02,364.5,366.2,373.0,-6.8,-1.8231,251868.82,9290699.8804
300750.SZ,20260715,368.01,379.99,363.08,373.0,364.01,8.99,2.4697,358492.58,13440215.2208
300750.SZ,20260714,352.6,364.63,352.49,364.01,359.06,4.95,1.3786,436316.37,15701875.6819
300750.SZ,20260713,349.0,362.0,348.0,359.06,348.76,10.3,2.9533,462906.81,16540015.1632
300750.SZ,20260710,375.0,375.2,346.16,348.76,375.5,-26.74,-7.1212,556013.55,19867664.6072
300750.SZ,20260709,361.0,376.66,360.07,375.5,361.0,14.5,4.0166,377941.62,13905775.6698
300750.SZ,20260708,374.0,376.68,361.0,361.0,372.49,-11.49,-3.0846,270518.74,9902742.68932
300750.SZ,20260707,376.0,378.88,370.76,372.49,374.51,-2.02,-0.5394,208485.82,7796643.16818
300750.SZ,20260706,379.23,381.89,374.05,374.51,380.0,-5.49,-1.4447,216480.05,8167456.24112
300750.SZ,20260703,381.96,387.95,379.0,380.0,382.35,-2.35,-0.6146,258849.4,9910832.54224
300750.SZ,20260702,387.68,390.99,380.39,382.35,383.84,-1.49,-0.3882,340754.35,13139767.2594
300750.SZ,20260701,390.0,391.0,370.0,383.84,393.01,-9.17,-2.3333,440885.79,16758898.184
300750.SZ,20260630,392.49,402.36,390.0,393.01,392.36,0.65,0.1657,270383.46,10665434.439
300750.SZ,20260629,386.96,396.0,378.2,392.36,381.0,11.36,2.9816,425259.08,16529881.6525
300750.SZ,20260626,401.0,409.81,381.0,381.0,401.9,-20.9,-5.2003,465253.03,18133875.4675
300750.SZ,20260625,399.88,402.55,392.58,401.9,395.36,6.54,1.6542,324046.38,12900279.0381
300750.SZ,20260624,392.0,399.27,386.66,395.36,392.51,2.85,0.7261,344270.57,13521407.6757
300750.SZ,20260623,411.0,414.04,390.73,392.51,408.98,-16.47,-4.0271,373740.94,14957779.3941
300750.SZ,20260622,393.0,413.33,386.0,408.98,391.55,17.43,4.4515,594648.44,23926025.746
300750.SZ,20260618,400.39,409.89,389.92,391.55,399.0,-7.45,-1.8672,385481.05,15327443.707
300750.SZ,20260617,400.0,403.3,395.58,399.0,403.53,-4.53,-1.1226,250092.64,9965557.90566
300750.SZ,20260616,408.88,409.02,398.5,403.53,398.1,5.43,1.364,348392.62,14107808.7348
300750.SZ,20260615,402.0,407.9,393.41,398.1,394.85,3.25,0.8231,340748.82,13613555.7012
300750.SZ,20260612,389.99,399.54,383.3,394.85,382.2,12.65,3.3098,414208.38,16278999.8834
300750.SZ,20260611,386.98,391.34,380.03,382.2,388.5,-6.3,-1.6216,268654.47,10301875.9156
300750.SZ,20260610,395.28,399.0,385.12,388.5,399.5,-11.0,-2.7534,244357.15,9535581.22717
300750.SZ,20260609,399.99,401.87,388.0,399.5,393.02,6.48,1.6488,277351.47,10926469.6166
300750.SZ,20260608,395.8,402.68,390.7,393.02,403.0,-9.98,-2.4764,286526.36,11335280.87
300750.SZ,20260605,407.89,412.65,402.7,403.0,408.2,-5.2,-1.2739,287389.3,11711423.57
300750.SZ,20260604,426.42,426.9,407.18,408.2,426.42,-18.22,-4.2728,431154.62,17788218.035
300750.SZ,20260603,437.0,437.0,420.1,426.42,433.89,-7.47,-1.7216,385526.08,16460790.913
300750.SZ,20260602,425.0,437.75,423.0,433.89,420.1,13.79,3.2826,387981.6,16719046.201
300750.SZ,20260601,432.1,438.24,418.18,420.1,424.0,-3.9,-0.9198,386004.52,16554495.936
300750.SZ,20260529,423.0,430.86,416.55,424.0,415.68,8.32,2.0015,498118.91,21139031.904
300750.SZ,20260528,420.0,420.58,406.2,415.68,414.8,0.88,0.2122,327771.49,13502296.107
300750.SZ,20260527,413.92,428.9,411.29,414.8,402.5,12.3,3.0559,533728.88,22373358.897
300750.SZ,20260526,406.19,408.77,400.36,402.5,402.88,-0.38,-0.0943,350627.03,14152427.064
300750.SZ,20260525,411.28,414.5,400.0,402.88,411.16,-8.28,-2.0138,381977.1,15479408.962
300750.SZ,20260522,414.7,416.5,410.0,411.16,411.63,-0.47,-0.1142,277883.81,11472585.703
300750.SZ,20260521,419.87,427.62,411.42,411.63,414.75,-3.12,-0.7523,338671.72,14239107.293
300750.SZ,20260520,417.0,422.99,412.66,414.75,417.92,-3.17,-0.7585,281190.31,11734883.868
300750.SZ,20260519,415.86,419.9,406.8,417.92,417.23,0.69,0.1654,260876.68,10805349.153
300750.SZ,20260518,420.58,422.9,414.0,417.23,423.6,-6.37,-1.5038,284983.47,11894351.176
300750.SZ,20260515,428.08,431.5,421.0,423.6,427.0,-3.4,-0.7963,297048.93,12638150.862
300750.SZ,20260514,449.38,450.45,427.0,427.0,434.05,-7.05,-1.6242,347046.14,15157645.64
300750.SZ,20260513,431.01,436.58,427.08,434.05,431.25,2.8,0.6493,316858.23,13668347.814
300750.SZ,20260512,446.59,446.85,429.29,431.25,446.11,-14.86,-3.331,341514.97,14869224.128
300750.SZ,20260511,440.0,450.51,435.1,446.11,437.0,9.11,2.0847,341901.01,15198345.088
300750.SZ,20260508,449.0,455.5,436.2,437.0,451.64,-14.64,-3.2415,366048.51,16224287.222
300750.SZ,20260507,468.75,468.75,447.0,451.64,460.0,-8.36,-1.8174,386212.74,17551196.925
300750.SZ,20260506,457.5,465.88,448.63,460.0,436.0,24.0,5.5046,473727.18,21679900.613
300750.SZ,20260430,446.5,449.5,436.0,436.0,445.0,-9.0,-2.0225,298120.94,13127297.982
300750.SZ,20260429,432.0,445.15,428.0,445.0,427.67,17.33,4.0522,376335.6,16473164.318
300750.SZ,20260428,426.19,433.3,423.0,427.67,434.88,-7.21,-1.6579,350121.13,14992134.063
300750.SZ,20260427,444.63,448.76,433.8,434.88,444.9,-10.02,-2.2522,330612.83,14514326.132
300750.SZ,20260424,442.0,448.45,438.0,444.9,438.9,6.0,1.3671,395424.97,17517374.359
300750.SZ,20260423,443.5,443.6,435.0,438.9,436.35,2.55,0.5844,354309.66,15566836.621
300750.SZ,20260422,441.01,447.97,433.13,436.35,440.69,-4.34,-0.9848,460254.32,20173924.648
300750.SZ,20260421,435.0,450.13,425.1,447.6,432.5,15.1,3.4913,577745.62,25412275.749
300750.SZ,20260420,433.0,437.9,426.01,432.5,444.2,-11.7,-2.6339,529278.21,22768028.85
300750.SZ,20260417,455.96,457.64,441.01,444.2,453.98,-9.78,-2.1543,365358.48,16290232.436
300750.SZ,20260416,441.0,460.0,433.02,453.98,431.0,22.98,5.3318,635062.18,28517416.468
300750.SZ,20260415,438.88,439.46,427.07,431.0,430.79,0.21,0.0487,373536.28,16122379.46
300750.SZ,20260414,421.5,432.49,414.4,430.79,427.13,3.66,0.8569,442208.26,18663656.303
300750.SZ,20260413,418.0,433.33,416.0,427.13,416.0,11.13,2.6755,412399.24,17625505.878
300750.SZ,20260410,394.0,419.0,392.68,416.0,389.99,26.01,6.6694,507887.02,20752496.341
300750.SZ,20260409,394.1,394.28,386.66,389.99,391.3,-1.31,-0.3348,259551.99,10132744.607
300750.SZ,20260408,396.5,397.65,388.22,391.3,384.59,6.71,1.7447,364184.43,14315333.338
300750.SZ,20260407,389.98,393.2,381.49,384.59,386.46,-1.87,-0.4839,172576.22,6675632.984
300750.SZ,20260403,400.0,400.8,385.13,386.46,401.17,-14.71,-3.6668,247515.01,9640031.385
300750.SZ,20260402,407.9,411.99,397.2,401.17,405.71,-4.54,-1.119,223056.38,8988161.794
300750.SZ,20260401,409.73,409.87,396.0,405.71,401.7,4.01,0.9983,231700.73,9384266.504
300750.SZ,20260331,413.0,416.95,401.58,401.7,413.0,-11.3,-2.7361,249256.45,10159878.346
300750.SZ,20260330,413.0,418.85,405.6,413.0,416.18,-3.18,-0.7641,253484.19,10440376.424
300750.SZ,20260327,406.12,418.33,401.73,416.18,402.5,13.68,3.3988,302580.43,12465856.864
300750.SZ,20260326,393.84,413.72,392.0,402.5,397.81,4.69,1.179,267636.97,10811439.764
300750.SZ,20260325,393.0,400.5,387.8,397.81,396.99,0.82,0.2066,267528.28,10553996.247
300750.SZ,20260324,405.0,411.9,388.0,396.99,401.99,-5.0,-1.2438,364105.25,14439124.61
300750.SZ,20260323,417.33,417.36,398.75,401.99,413.0,-11.01,-2.6659,446141.45,18193336.487
300750.SZ,20260320,405.08,422.08,400.13,413.0,400.5,12.5,3.1211,537296.77,22252017.693
300750.SZ,20260319,401.94,414.0,400.0,400.5,402.02,-1.52,-0.3781,292866.35,11867380.765
300750.SZ,20260318,405.36,406.0,396.77,402.02,405.0,-2.98,-0.7358,265299.96,10653633.584
300750.SZ,20260317,415.78,420.0,404.56,405.0,408.4,-3.4,-0.8325,359806.78,14787230.79
300750.SZ,20260316,401.77,413.17,398.0,408.4,397.0,11.4,2.8715,373521.04,15195015.005
300750.SZ,20260313,393.88,403.99,393.8,397.0,395.5,1.5,0.3793,355826.39,14201304.444
300750.SZ,20260312,400.0,400.9,392.7,395.5,396.8,-1.3,-0.3276,291503.75,11537671.607
300750.SZ,20260311,379.58,403.55,378.98,396.8,376.3,20.5,5.4478,575986.85,22642696.276
300750.SZ,20260310,375.0,379.77,366.5,376.3,357.5,18.8,5.2587,507417.28,19049080.513
300750.SZ,20260309,348.84,359.85,345.06,357.5,354.77,2.73,0.7695,317976.13,11217996.825
300750.SZ,20260306,349.0,357.02,344.66,354.77,350.25,4.52,1.2905,209631.13,7388868.682
